Organization,Metropolitan Teaching Hospital
Assessment Date,2026-06-12T00:00:00

Question ID,RMM,Article,Question Text,Weight,Response,Assurance,Evidence,Score
1,RMM001,Art.20(1),Is there a designated officer for NIS2 compliance?,1.0,Yes,High,"NIS2 Compliance Officer appointed and board-ratified (Group CISO, ref GOV-NIS2-2025-01); pre-registration pack prepared for NCSC portal.",4.00
2,RMM002,Art.20(1),Does the board explicitly approve cyber measures?,1.5,Yes,High,Board Risk & Cyber Committee charter BRC-CHTR-2025; cyber a standing board agenda item; measures approved in BM-2026-Q1.,6.00
3,RMM002,Art.20(1),Is there an approved cyber budget for 18 months?,1.0,Partial,Medium,Cyber programme funded on a rolling annual capital cycle (FIN-CAP-2026); 18-month forward commitment not yet formally minuted.,1.00
4,RMM002,Art.20(2),Do board members undergo mandatory cyber training?,1.0,Yes,High,"Mandatory board cyber-governance training completed 2026-01 (LMS-BOARD-2026-01, 100% completion).",4.00
5,RMM003,Art.21(2)(a),Is there a documented Security Policy (ISMS)?,1.5,Yes,High,"ISO/IEC 27001-aligned ISMS policy suite ISMS-POL v4.1, certified scope covers core clinical systems; owner Group CISO.",6.00
6,RMM003,Art.21(2),Does policy cover all NIS2 risk areas?,1.0,Yes,High,Policy coverage matrix POL-MAP-2026 maps every Art.21(2) area and all 16 NCSC RMMs to an owned policy.,4.00
7,RMM004,Art.21(2)(a),Are risk assessments conducted annually?,1.5,Yes,High,"Annual enterprise risk assessment RA-2026-ACAD (ISO 27005), refreshed quarterly for high-risk research systems.",6.00
8,RMM004,Art.21(2)(a),"Are critical assets (e.g., EHR) formally identified?",1.0,Yes,High,"Critical Asset Register CAR-2026 v3.0; EHR, PACS, LIS, ePMA, research HPC classified; owner IT Asset Manager.",4.00
9,RMM005,Art.21(2)(f),Are measures audited/tested annually?,1.0,Yes,High,Independent internal audit IA-CYBER-2026-02 and annual third-party penetration test PEN-2026-01 on record.,4.00
10,RMM005,Art.21(2)(a),Is there a process to update measures post-incident?,1.0,Yes,High,Post-incident review standard PROC-IR-004 v2.0; lessons-learned feed control updates (PIR register 2025-2026).,4.00
11,RMM006,Art.21(2)(e),Is patching performed within defined SLAs?,1.5,Yes,High,"Risk-based patch SLA policy ITS-STD-007 v2.1 (critical 72h, high 14d); Tenable + WSUS/Intune compliance >95%.",6.00
12,RMM006,Art.21(2)(c),Are backups tested for restorability annually?,1.5,Yes,High,Quarterly backup restore tests BKP-RESTORE-2026-Q1/Q2; immutable backups; owner Infrastructure Lead.,6.00
13,RMM006,Art.21(2)(g),Is cyber hygiene training mandatory for all staff?,1.0,Partial,High,Security awareness mandatory; completion 88% (LMS-RPT-2026-05); rolling enforcement for remaining clinical staff.,1.00
14,RMM007,Art.21(2)(i),Is the asset inventory up-to-date?,1.0,Partial,High,CMDB (ServiceNow) strong for IT; networked medical devices/OT only ~70% inventoried (MDS-GAP-2026-01).,1.00
15,RMM008,Art.21(2)(i),Are background checks performed for sensitive roles?,1.0,Yes,High,Garda vetting and pre-employment screening register HR-VET-2026 for clinical/privileged roles.,4.00
16,RMM008,Art.21(2)(i),Are access rights revoked immediately upon exit?,1.0,Yes,High,Automated joiner-mover-leaver via IGA (SailPoint); leaver deprovisioning SLA <2h; sample SNOW-LVR-2026.,4.00
17,RMM009,Art.21(2)(j),Is MFA enforced for ALL remote/admin access?,2.0,Yes,High,Enterprise MFA (Entra ID + FIDO2) enforced for all remote and privileged access; coverage report IAM-RPT-2026-06 = 100%.,8.00
18,RMM009,Art.21(2)(j),Is 'Least Privilege' strictly enforced?,1.0,Yes,High,PAM (CyberArk) for privileged accounts; least-privilege RBAC recertified quarterly PAR-2026-Q1.,4.00
19,RMM010,Art.21(2),Are physical server rooms secured?,1.0,Yes,High,"Tier III data centres, badge + biometric access, environmental monitoring; audit FAC-ENV-2026.",4.00
20,RMM011,Art.21(2)(h),Is patient data encrypted at rest?,1.5,Yes,High,Encryption at rest (TDE + full-disk) across clinical databases and endpoints; KMS-managed keys CRY-STD-005 v2.,6.00
21,RMM011,Art.21(2)(h),Is data encrypted in transit (TLS)?,1.0,Yes,High,"TLS 1.2/1.3 enforced (grade A, SSLSCAN-2026-05); mTLS for sensitive integrations.",4.00
22,RMM012,Art.21(2)(d),Do supplier contracts include security SLAs?,1.5,Yes,High,Security schedules + right-to-audit in top-50 supplier contracts; standard NIS2 clause library LEG-CYB-2026.,6.00
23,RMM012,Art.21(2)(d),Are critical vendors risk-assessed?,1.0,Partial,Medium,Top clinical vendors risk-assessed (TPRM-2026); academic research collaborators and grant-funded SaaS only partially covered.,1.00
24,RMM013,Art.21(2)(e),Is security built into system acquisition?,1.0,Partial,High,Secure-by-design gate SDLC-CHK-009 applied to enterprise procurements; bespoke research/clinical-trial systems inconsistently gated.,1.00
25,RMM014,Art.21(2)(b),Is there a documented Incident Response Plan?,1.5,Yes,High,Board-approved Incident Response Plan IRP-PLAN-006 v2.0; 24/7 SOC; playbooks for ransomware/EHR outage.,6.00
26,RMM014,Art.21(2)(b),Has the IRP been tested (tabletop) in 12 months?,1.0,Yes,High,Two exercises in 12 months: ransomware tabletop TTX-2025-11 and live red-team RT-2026-02.,4.00
27,RMM015,Art.23(3),Can you submit an 'Early Warning' within 24h?,2.0,Yes,High,"24h early-warning runbook IRP-PROC-007 v2.0; named owner, on-call rota; validated test submission TEST-EW-2026-02.",8.00
28,RMM015,Art.21(2)(b),Are detection mechanisms (IDS/SIEM) in place?,1.0,Yes,High,24/7 SOC with Microsoft Sentinel SIEM + MDR; EDR on all endpoints; detection coverage report SOC-2026-Q2.,4.00
29,RMM016,Art.21(2)(c),Is there a Business Continuity Plan with RTOs?,1.5,Partial,High,BCP BCP-PLAN-010 v2.0 with RTO/RPO for Tier 1 systems validated at main campus; satellite-site continuity not fully validated.,1.50
30,RMM016,Art.21(2)(c),Are DR procedures tested annually?,1.5,Partial,High,Annual DR failover proven for primary data centre (DR-TEST-2026-03); full multi-site failover incl. medical devices not yet exercised end-to-end.,1.50
